Name                             |TwoHanded|Effect|EffectDescription|isBody|
6pin_cable                       |unknown|unknown|N/A|false
6pin_cable_item                  |unknown|unknown|N/A|false
7Ball                            |unknown|unknown|N/A|false
abandonedBBFlashlight            |unknown|unknown|N/A|false
AbandonedTZPItem                 |unknown|unknown|N/A|false
AbandonedWalkieItem              |unknown|unknown|N/A|false
ac_unit                          |unknown|unknown|N/A|false
ac_unit_item                     |unknown|unknown|N/A|false
aerialdish                       |unknown|unknown|N/A|false
aerialdish_item                  |unknown|unknown|N/A|false
Airhorn                          |unknown|unknown|N/A|false
alarmclock                       |unknown|unknown|N/A|false
alarmclock_item                  |unknown|unknown|N/A|false
AlcoholFlaskItem                 |unknown|unknown|N/A|false
AnvilItem                        |unknown|unknown|N/A|false
arcademachine                    |unknown|unknown|N/A|false
arctic                           |unknown|unknown|N/A|false
arctic_fox                       |unknown|unknown|N/A|false
ArtOfGoldLCGoldScrapMod          |unknown|unknown|N/A|false
aurorapony                       |unknown|unknown|N/A|false
BaboonHawkBody                   |true|none|N/A|true
Bandages                         |unknown|unknown|N/A|false
Bandages_Item                    |unknown|unknown|N/A|false
Baseball bat.prop                |unknown|unknown|N/A|false
BaseballbatItem                  |unknown|unknown|N/A|false
battery                          |unknown|unknown|N/A|false
battery_2                        |unknown|unknown|N/A|false
battery_2_item                   |unknown|unknown|N/A|false
battery_item                     |unknown|unknown|N/A|false
bearing                          |unknown|unknown|N/A|false
bearing_item                     |unknown|unknown|N/A|false
BeercanItem                      |unknown|unknown|N/A|false
BeerItem                         |unknown|unknown|N/A|false
Bell                             |unknown|unknown|N/A|false
BeltBag                          |unknown|unknown|N/A|false
BigBolt                          |unknown|unknown|N/A|false
Binoculars                       |unknown|unknown|N/A|false
BlobBody                         |unknown|unknown|N/A|true
Boombox                          |unknown|unknown|N/A|false
BottleBin                        |unknown|unknown|N/A|false
BrickItem                        |unknown|unknown|N/A|false
BrokenengineItem                 |unknown|unknown|N/A|false
Brush                            |unknown|unknown|N/A|false
BucketItem                       |unknown|unknown|N/A|false
bulletLighter                    |unknown|unknown|N/A|false
BunkerSpiderBody                 |true|none|N/A|true
bunny                            |unknown|unknown|N/A|false
BushWolfBody                     |unknown|unknown|N/A|true
camera                           |unknown|unknown|N/A|false
camera_item                      |unknown|unknown|N/A|false
candleItem                       |unknown|unknown|N/A|false
Candy                            |unknown|unknown|N/A|false
